name,phone,address,cc_number,dob,email
Josué,(+57) 320 432 05 09,Cartago,371449635398431,1995-10-07,josue.0795@gmail.com
Josué Ignacio Fernandez Diaz,(+57) 320 432 05 09,San Ramon de Tres Rios,371449635398431,1995-10-07,josue.079576@gmail.com
Ignacio-Fernandez,(+57) 320-432-05-09,Tres Ríos,5555555555554444,19951007,josue.fernandez@gmail.com
Fernandez+Diaz,(+55) 828 828 84 82,,4111111111111111,25-12-1954,josue.fernandez
Fernandez Diaz,(+55) 828 828 84 82,Alajuela,4111111111111111,25-12-1954,josue.fernandez
Fernandez Diaz,(+55) 828 828 84 82,San Jose,30569309025904,25-12-1954,josue.fernandez11@gmail.com
Fernandez Diaz,(+55) 828 828 84 82,San Jose,6011111111111117,1954-12-12,josue.fernandez11@gmail.com
Fernandez Diaz,(+55) 828-828-84-82,San Jose,3530111333300000,1994-12-12,josue.fernandez12@gmail.com
Fernandez Diaz,(+55) 828-828-84-82,San Jose,5555555555554444,1994-12-12,josue.fernandez13@gmail.com
Fernandez Diaz,(+55) 828-828-84-82,San Jose,4111111111111111,1994-12-12,josue.fernandez141@gmail.com
Fernandez Diaz,(+55) 828-828-84-82,San Jose,371449635398431,1994-12-12,josue.fernandez15@gmail.com
Fernandez Diaz,(+55) 828-828-84-82,San Jose,30569309025904,1994-12-12,josue.fernandez16@gmail.com
Fernandez Diaz,(+55) 828-828-84-82,San Jose,6011111111111117,1994-12-12,josue.fernandez17@gmail.com
